state,state_code,district,collector,latitude,longitude,project_id,project_name,project_type,total_parcels,total_area_acres,land_area_acres,affected_families,acquisition_status,project_status,completion_percentage,possession_acquired_pct,compensation_assessed,compensation_disbursed_pct,compensation_pending_families,legal_disputes,legal_disputes_count,approval_days_passed,approval_days_total,pending_approvals,documentation_complete_pct,rehabilitation_progress_pct,rr_affected_families,rr_completed_families,rr_completion_pct,stakeholder_responsiveness_score,inter_dept_coordination_score,past_project_success_rate,district_avg_delay_days,notification_date,award_date,possession_date
Maharashtra,MH,Mumbai Suburban,Rajendra Keshari,19.172191842723187,72.91548190103047,MH-01-01,Mumbai Suburban Samruddhi Mahamarg Link Sec-1,Samruddhi Mahamarg Link,30,88.61,88.61,197,Awarded,Active,77.6,76.5,87276323.77,85.0,30,3,3,201,427,0,87.1,46.1,184,85,46.1,6,3,0.82,35,2026-02-18,2026-05-23,
Maharashtra,MH,Mumbai Suburban,Rajendra Keshari,19.206994445556713,72.7394558980027,MH-01-02,Mumbai Suburban Metro Rail Line Sec-2,Metro Rail Line,40,252.02,252.02,103,Possessed,Active,90.7,100.0,106038777.99,91.0,9,1,1,372,372,0,100.0,85.2,93,79,85.2,6,4,0.88,29,2025-08-26,2026-05-08,2026-08-23
Maharashtra,MH,Pune,Rajesh Deshmukh,18.530698242059167,73.85566835720493,MH-02-01,Pune Metro Rail Line Sec-1,Metro Rail Line,20,133.59,133.59,197,Possessed,Active,95.7,100.0,113768159.3,95.8,8,4,4,430,430,0,100.0,93.6,175,164,93.6,3,5,0.73,1,2025-09-26,2026-05-07,2026-08-07
Maharashtra,MH,Pune,Rajesh Deshmukh,18.607285442838364,73.73406183091461,MH-02-02,Pune Metro Rail Line Sec-2,Metro Rail Line,23,250.15,250.15,159,Notified,Active,63.8,32.4,70360096.98,45.4,87,2,2,230,393,3,84.1,59.3,150,89,59.3,7,6,0.95,0,2026-02-04,,
Maharashtra,MH,Nagpur,Sandip Chakraborty,21.20767266814695,78.96260463419257,MH-03-01,Nagpur Samruddhi Mahamarg Link Sec-1,Samruddhi Mahamarg Link,16,269.23,269.23,181,Possessed,Active,97.4,100.0,105326748.68,95.5,8,0,0,353,353,0,100.0,81.7,157,128,81.7,7,4,0.8,11,2025-10-20,2026-05-25,2026-08-22
Maharashtra,MH,Nagpur,Sandip Chakraborty,21.13639819259824,78.95509098270455,MH-03-02,Nagpur Metro Rail Line Sec-2,Metro Rail Line,12,190.45,190.45,168,Notified,Active,61.4,51.8,64018883.11,27.1,122,6,6,138,438,2,76.8,87.5,153,134,87.5,8,5,0.77,34,2026-05-07,,
Maharashtra,MH,Thane,Ashok Shingare,19.090438969420617,72.99425628532039,MH-04-01,Thane Port Terminal Sec-1,Port Terminal,14,236.33,236.33,60,Awarded,Active,79.6,69.4,102189832.41,88.7,7,4,4,316,433,1,88.7,18.5,60,11,18.5,7,8,0.94,44,2026-01-17,2026-07-09,
Maharashtra,MH,Thane,Ashok Shingare,19.174305668407815,73.00319683355526,MH-04-02,Thane Port Terminal Sec-2,Port Terminal,25,111.58,111.58,108,Pending,Pending,17.4,13.9,115537033.57,14.9,92,5,5,56,273,5,43.4,64.6,99,64,64.6,3,5,0.87,-8,2026-06-25,,
Karnataka,KA,Bangalore Urban,K. Dayananda,12.829510092349176,77.55753901006341,KA-01-01,Bangalore Urban KIADB Industrial Zone Stage 1,KIADB Industrial Zone,20,106.79,106.79,184,Notified,Active,44.3,44.0,45914816.87,44.4,102,4,4,253,331,3,68.3,48.5,173,84,48.5,8,4,0.84,-11,2026-04-27,,
Karnataka,KA,Bangalore Urban,K. Dayananda,13.052296224554153,77.72802971896473,KA-01-02,Bangalore Urban Tech Park Corridor Stage 2,Tech Park Corridor,32,237.35,237.35,50,Notified,Active,57.5,49.0,18916021.64,31.8,34,6,6,218,378,1,76.4,80.0,49,39,80.0,7,8,0.94,7,2026-03-06,,
Karnataka,KA,Bangalore Urban,K. Dayananda,12.987172051632346,77.61288139146062,KA-01-03,Bangalore Urban Highway Bypass Stage 3,Highway Bypass,12,103.4,103.4,149,Notified,Active,63.6,28.0,25608358.68,38.2,92,1,1,211,344,2,78.4,53.1,138,73,53.1,5,5,0.78,-15,2026-05-11,,
Karnataka,KA,Mysore,Dr. K.V. Rajendra,12.380895903822342,76.60836283469638,KA-02-01,Mysore Highway Bypass Stage 1,Highway Bypass,34,166.19,166.19,86,Awarded,Active,83.9,77.6,57524485.02,76.7,20,5,5,237,349,1,87.8,22.3,80,18,22.3,4,6,0.84,17,2025-09-29,2026-06-08,
Karnataka,KA,Mysore,Dr. K.V. Rajendra,12.191370808053689,76.53104815179482,KA-02-02,Mysore Namma Metro Extension Stage 2,Namma Metro Extension,15,185.58,185.58,68,Notified,Active,48.8,46.9,41276698.35,45.3,37,5,5,125,302,2,66.3,34.2,64,22,34.2,5,3,0.82,0,2026-04-04,,
Karnataka,KA,Hubli-Dharwad,Divya Prabhu,15.482965178868778,75.01262451948989,KA-03-01,Hubli-Dharwad KIADB Industrial Zone Stage 1,KIADB Industrial Zone,14,185.37,185.37,64,Pending,Pending,31.9,19.5,41120536.06,7.7,59,1,1,65,204,5,51.1,22.1,56,12,22.1,2,6,0.82,10,2026-07-01,,
Karnataka,KA,Hubli-Dharwad,Divya Prabhu,15.37407972619206,75.19015481841744,KA-03-02,Hubli-Dharwad Highway Bypass Stage 2,Highway Bypass,33,67.08,67.08,86,Awarded,Active,67.0,83.0,58017631.51,85.6,12,3,3,207,412,0,85.8,44.6,76,34,44.6,8,8,0.86,7,2026-02-16,2026-07-06,
Rajasthan,RJ,Jaipur,Prakash Rajpurohit,27.02955818422197,75.81537773606621,RJ-01-01,Jaipur Mega Solar Ultra Park Ph-1,Mega Solar Ultra Park,14,170.49,170.49,76,Pending,Pending,32.4,10.6,32500810.01,7.7,70,4,4,59,391,5,33.8,60.1,67,40,60.1,2,3,0.84,9,2026-07-14,,
Rajasthan,RJ,Jaipur,Prakash Rajpurohit,26.87200704590222,75.78364294024263,RJ-01-02,Jaipur RIICO Industrial Zone Ph-2,RIICO Industrial Zone,33,249.76,249.76,215,Notified,Active,52.6,35.1,52100589.8,42.4,124,2,2,145,313,2,67.6,63.5,215,137,63.5,3,7,0.73,-10,2026-03-03,,
Rajasthan,RJ,Udaipur,Arvind Poswal,24.60242886790418,73.73398380684098,RJ-02-01,Udaipur Mega Solar Ultra Park Ph-1,Mega Solar Ultra Park,35,177.02,177.02,164,Pending,Pending,32.4,10.5,40860613.94,1.2,162,3,3,139,205,6,44.4,15.4,162,25,15.4,2,4,0.91,-14,2026-07-16,,
Rajasthan,RJ,Udaipur,Arvind Poswal,24.599980935381446,73.7271765939667,RJ-02-02,Udaipur Canal Water Project Ph-2,Canal Water Project,15,161.02,161.02,223,Awarded,Active,75.6,66.1,47896757.16,72.8,61,6,6,237,336,1,86.5,57.6,206,119,57.6,3,8,0.79,-6,2025-12-14,2026-07-28,
Rajasthan,RJ,Jodhpur,Gaurav Agrawal,26.108848880210033,73.09663619478701,RJ-03-01,Jodhpur Mega Solar Ultra Park Ph-1,Mega Solar Ultra Park,20,281.97,281.97,134,Notified,Active,57.8,36.5,68990261.51,37.9,83,3,3,168,318,3,73.2,89.6,122,109,89.6,5,3,0.75,19,2026-03-10,,
Rajasthan,RJ,Jodhpur,Gaurav Agrawal,26.220523402616504,73.04754588127183,RJ-03-02,Jodhpur Mega Solar Ultra Park Ph-2,Mega Solar Ultra Park,25,276.3,276.3,80,Pending,Pending,30.0,3.7,72018035.15,12.4,70,0,0,48,288,4,38.2,51.2,76,39,51.2,4,6,0.78,7,2026-07-26,,
