state,state_code,district,collector,latitude,longitude,project_id,project_name,project_type,total_parcels,total_area_acres,affected_families,acquisition_status,completion_percentage,compensation_assessed,compensation_disbursed_pct,legal_disputes,notification_date,award_date,possession_date,rr_affected_families,rr_completed_families,rr_completion_pct
Andhra Pradesh,AP,Tirupati,S. Venkateswar,13.222701679683672,79.96552160572251,AP-03-03,Tirupati SEZ Hub Sector 3,SEZ Hub,31,308.8,202,Pending,54.9,91544643.28,90.1,2,2025-12-20,,,76,33,41.5
Maharashtra,MH,Mumbai Suburban,Rajendra Keshari,19.215085993126777,72.98360283664022,MH-01-01,Mumbai Suburban Samruddhi Mahamarg Link Sec-1,Samruddhi Mahamarg Link,48,153.17,126,Possessed,37.7,80112113.62,94.6,1,2026-02-02,2026-08-06,2026-05-18,81,194,99.3
Maharashtra,MH,Mumbai Suburban,Rajendra Keshari,19.014587176525684,72.82446522927158,MH-01-02,Mumbai Suburban Samruddhi Mahamarg Link Sec-2,Samruddhi Mahamarg Link,27,212.43,102,Notified,78.2,79753797.92,40.2,1,2026-07-13,,,109,154,62.6
Maharashtra,MH,Pune,Rajesh Deshmukh,18.391682275099978,73.82573514816417,MH-02-01,Pune Metro Rail Line Sec-1,Metro Rail Line,33,249.1,202,Pending,53.2,38458374.59,64.2,5,2026-06-05,,,112,144,87.9
Maharashtra,MH,Pune,Rajesh Deshmukh,18.381604456624764,73.9534801681979,MH-02-02,Pune Samruddhi Mahamarg Link Sec-2,Samruddhi Mahamarg Link,41,182.05,160,Pending,64.2,99299419.78,33.3,4,2026-04-14,,,55,128,39.6
Maharashtra,MH,Nagpur,Sandip Chakraborty,21.187028970449465,79.1560274001168,MH-03-01,Nagpur Samruddhi Mahamarg Link Sec-1,Samruddhi Mahamarg Link,32,264.21,165,Awarded,49.2,101566757.53,38.0,3,2026-05-29,2026-06-01,,166,81,87.7
Maharashtra,MH,Nagpur,Sandip Chakraborty,21.01325807865253,79.21276411828795,MH-03-02,Nagpur Metro Rail Line Sec-2,Metro Rail Line,34,127.55,185,Awarded,32.0,46457939.74,94.4,0,2025-10-27,2026-06-22,,71,112,56.5
Maharashtra,MH,Thane,Ashok Shingare,19.115893934292743,72.8641493943417,MH-04-01,Thane Port Terminal Sec-1,Port Terminal,48,102.05,128,Awarded,32.1,58027197.85,98.3,4,2026-01-03,2026-04-08,,134,58,51.0
Maharashtra,MH,Thane,Ashok Shingare,19.187851420319213,73.01285502941566,MH-04-02,Thane Samruddhi Mahamarg Link Sec-2,Samruddhi Mahamarg Link,24,248.47,197,Notified,71.9,75282263.27,87.8,4,2026-07-22,,,65,43,95.8
Karnataka,KA,Bangalore Urban,K. Dayananda,12.99733267438204,77.72666907242748,KA-01-01,Bangalore Urban Highway Bypass Stage 1,Highway Bypass,26,129.87,163,Pending,30.0,72350679.84,79.8,3,2025-09-21,,,94,170,65.4
Karnataka,KA,Bangalore Urban,K. Dayananda,12.84240839026255,77.47483340041323,KA-01-02,Bangalore Urban Namma Metro Extension Stage 2,Namma Metro Extension,16,67.01,74,Pending,46.3,61933416.57,42.8,1,2026-05-12,,,144,114,52.2
Karnataka,KA,Bangalore Urban,K. Dayananda,13.010282854033964,77.70784160405812,KA-01-03,Bangalore Urban Highway Bypass Stage 3,Highway Bypass,18,135.23,177,Awarded,53.0,56090859.01,59.0,2,2026-07-05,2026-05-26,,66,21,46.5
Karnataka,KA,Mysore,Dr. K.V. Rajendra,12.217270845721194,76.60271866585288,KA-02-01,Mysore Tech Park Corridor Stage 1,Tech Park Corridor,31,150.95,151,Awarded,50.4,37941556.69,18.5,3,2025-12-20,2026-04-05,,105,18,37.1
Karnataka,KA,Mysore,Dr. K.V. Rajendra,12.290556284892793,76.63730769733154,KA-02-02,Mysore Highway Bypass Stage 2,Highway Bypass,30,140.72,138,Awarded,67.0,55098104.51,28.1,4,2026-03-12,2026-04-08,,86,48,17.8
Karnataka,KA,Hubli-Dharwad,Divya Prabhu,15.513479372609098,74.9907613464032,KA-03-01,Hubli-Dharwad Highway Bypass Stage 1,Highway Bypass,17,219.79,114,Possessed,29.1,27580442.7,74.7,3,2025-11-30,2026-08-23,2026-07-25,170,177,16.2
Karnataka,KA,Hubli-Dharwad,Divya Prabhu,15.258681446507609,75.12799785060771,KA-03-02,Hubli-Dharwad Highway Bypass Stage 2,Highway Bypass,20,237.6,148,Possessed,48.9,72457571.01,90.5,0,2025-10-13,2026-04-20,2026-08-04,99,168,50.9
Rajasthan,RJ,Jaipur,Prakash Rajpurohit,26.882088803698792,75.94984175403789,RJ-01-01,Jaipur RIICO Industrial Zone Ph-1,RIICO Industrial Zone,24,206.89,210,Notified,48.0,52145746.64,68.0,5,2026-07-20,,,190,219,32.8
Rajasthan,RJ,Jaipur,Prakash Rajpurohit,26.826684834512747,75.93473965127579,RJ-01-02,Jaipur Desert Highway Corridor Ph-2,Desert Highway Corridor,23,207.27,127,Notified,18.9,78042123.74,8.7,5,2026-05-02,,,177,217,83.9
Rajasthan,RJ,Udaipur,Arvind Poswal,24.77312101424764,73.72173913766807,RJ-02-01,Udaipur RIICO Industrial Zone Ph-1,RIICO Industrial Zone,26,163.36,212,Notified,51.6,55791275.21,54.7,1,2026-07-09,,,133,30,81.8
Rajasthan,RJ,Udaipur,Arvind Poswal,24.519664025918782,73.58037196155823,RJ-02-02,Udaipur RIICO Industrial Zone Ph-2,RIICO Industrial Zone,21,212.74,129,Pending,61.2,20052751.4,87.8,3,2026-02-26,,,216,155,83.3
Rajasthan,RJ,Jodhpur,Gaurav Agrawal,26.205555623095396,73.05676504847233,RJ-03-01,Jodhpur Desert Highway Corridor Ph-1,Desert Highway Corridor,19,136.55,99,Possessed,82.1,17939213.56,7.2,1,2026-05-17,2026-04-06,2026-08-29,144,40,43.6
Rajasthan,RJ,Jodhpur,Gaurav Agrawal,26.2665325876663,72.849704731836,RJ-03-02,Jodhpur Mega Solar Ultra Park Ph-2,Mega Solar Ultra Park,26,202.96,198,Awarded,19.0,19898338.92,63.8,5,2026-03-10,2026-05-20,,62,195,58.9
